"PanelAPP.Gene.Symbol","PanelAPP.Model_Of_Inheritance","PanelAPP.Phenotypes","PanelAPP.UserRatings_Green_amber_red","PanelAPP.EnsemblId.GRch37"
"GATA2","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Immunodeficiency 21,614172;Monocytopenia and mycobacterial infection (MonoMAC);Congenital neutropenia;Combined immunodeficiency with susceptibility to mycobacterial, viral and fungal infections;Monocytopenia with susceptibility to infections;Susceptibility to mycobacteria, HPV, histoplasmosis, alveolar proteinosis, MDS/AML/CMMoL, lymphedema;Congenital defects of phagocyte number or function","100;0;0","ENSG00000179348"
"GFI1","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Neutropenia, nonimmune chronic idiopathic, of adults, 607847;Severe congenital 2, autosomal dominant, 613107;Neutropenia, severe congenital 2;Congenital neutropenia;Severe congenital neutropenia;Chronic non-immune neutropenia of adults;B/T lymphopenia;Congenital defects of phagocyte number or function","100;0;0","ENSG00000162676"
"GINS1","BIALLELIC, autosomal or pseudoautosomal","GINS1 deficiency;intrauterine growth retardation;chronic neutropenia;NK cell deficiency;Immunodeficiency 55, 617827;Neutropenia, IUGR, NK cells very low;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000101003"
"HAX1","BIALLELIC, autosomal or pseudoautosomal","Neutropenia, severe congenital 3, autosomal recessive, 610738;Severe congenital neutropenia;Neutropenia, severe congenital 3;Congenital neutropenia;Cognitive and neurological defects in patients with defects in both HAX1 isoforms, susceptibility to MDS/leukemia;Congenital defects of phagocyte number or function","100;0;0","ENSG00000143575"
"HELLS","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency-centromeric instability-facial anomalies syndrome;ICF;Immunodeficiency-centromeric instability-facial anomalies syndrome 4, 616911;ICF4;Facial dysmorphic features, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000119969"
"HTRA2","BIALLELIC, autosomal or pseudoautosomal","3-methylglutaconic aciduria, type VIII, 617248;early onset neurological syndrome;neutropenia","100;0;0","ENSG00000115317"
"ICOS","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency, common variable, 1;Immunodeficiency, common variable, 1, 607594;Common variable immunodeficiency disorders (CVID);Isolated IgG subclass deficiency;hypogammaglobulinaemia;gammaglobulinaemia;combined immunodeficiency;Recurrent infections, autoimmunity, gastroenteritis, granulomas;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000163600"
"IFNGR1","BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal","Immunodeficiency 27A, (AR) 209950;Immunodeficiency 27B, (AD) 615978;Mycobacteriosis;Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria and Salmonella;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000027697"
"IFNGR2","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Immunodeficiency 28, Mycobacteriosis, 614889;Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria and Salmonella;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000159128"
"IGHM","BIALLELIC, autosomal or pseudoautosomal","Agammaglobulinemia 1, 601495;Agammaglobulinemia 1;Agammaglobulinemia;Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies","100;0;0","ENSG00000211899"
"IGLL1","BIALLELIC, autosomal or pseudoautosomal","Agammaglobulinemia 2, 613500;Agammaglobulinemia 2;Agammaglobulinemia;Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies","75;0;25","ENSG00000128322"
"IKBKB","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 15, 615592;Combined immunodeficiency;Recurrent bacterial, viral, fungal infections, opportunistic infections;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000104365"
"IKBKG","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Immunodeficiency 33, 300636;Ectodermal dysplasia, hypohidrotic, with immune deficiency 300291;Ectodermal, dysplasia, anhidrotic, lymphedema and immunodeficiency, 300301;Immunodeficiency, isolated, 300584;Invasive pneumococcal disease, recurrent isolated, 2,300640;Defects of TLR/NFkappa-B signalling;Anhidrotic ectodermal dysplasia (in some), various infections (bacteria, mycobacteria, viruses and fungi), colitis, conical teeth, variable defects of skin, hair and teeth, monocyte dysfunction;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000073009"
"IKZF1","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Immunodeficiency, common variable, 13, 616873;Immunodeficiency, common variable 13;IKAROS deficiency;Recurrent sinopulmonary infections;Predominantly Antibody Deficiencies","100;0;0","ENSG00000185811"
"IL10","BIALLELIC, autosomal or pseudoautosomal","Early-onset inflammatory bowel disease;Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome;Inflammatory bowel disease (IBD) Folliculitis, recurrent respiratory diseases, arthritis,;Diseases of Immune Dysregulation","100;0;0","ENSG00000136634"
"IL10RA","BIALLELIC, autosomal or pseudoautosomal","Inflammatory bowel disease 28, early onset, autosomal recessive, 613148;Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome;IBD, Folliculitis, recurrent respiratory diseases, arthritis, lymphoma;Diseases of Immune Dysregulation","100;0;0","ENSG00000110324"
"IL10RB","BIALLELIC, autosomal or pseudoautosomal","Inflammatory bowel disease 25, early onset, autosomal recessive,612567;Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome;IBD, folliculitis, recurrent respiratory diseases, arthritis, lymphoma;Diseases of Immune Dysregulation","100;0;0","ENSG00000243646"
"IL12B","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 29, mycobacteriosis, 614890;Defects with susceptibility to mycobacterial infection (MSMD);Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency;Susceptibility to mycobacteria and Salmonella;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000113302"
"IL12RB1","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 30, 614891;Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria and Salmonella;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000096996"
"IL17RA","BIALLELIC, autosomal or pseudoautosomal","Candidiasis, familial, 5;Chronic mucocutaneous candidiasis (CMC);Immunodeficiency 51, 613953;Defects in Intrinsic and Innate Immunity;CMC, folliculitis;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000177663"
"IL17RC","BIALLELIC, autosomal or pseudoautosomal","Candidiasis, familial, 9 616445;Chronic Mucocutaneous Candidiasis;CMC;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000163702"
"IL1RN","BIALLELIC, autosomal or pseudoautosomal","Interleukin 1 receptor antagonist deficiency 612852;sterile multifocal osteomyelitis, periostitis, and pustulosis;Other autoinflammatory diseases with known genetic defect;DIRA;Neonatal onset of sterile multifocal osteomyelitis, periostitis and pustulosis.;Autoinflammatory Disorders","100;0;0","ENSG00000136689"
"IL21R","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 56, 615207;Immunodeficiency, primary, autosomal recessive, IL21R-related;Atypical Severe Combined Immunodeficiency (Atypical SCID);Combined immunodeficiency;Omenn syndrome;Severe combined immunodeficiency (SCID);IL-21R deficiency;Recurrent infections, Pneumocystis jiroveci, Cryptosporidium infections and liver disease;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000103522"
"IL2RA","BIALLELIC, autosomal or pseudoautosomal","Interleukin-2 receptor, alpha chain, deficiency of;Combined immunodeficiency;Omenn syndrome;Interleukin 2 receptor alpha deficiency (CD25) (IPEX phenotype);Immunodeficiency 41 with lymphoproliferation and autoimmunity, 606367;Lymphoproliferation, autoimmunity, impaired T cell proliferation;Diseases of Immune Dysregulation","100;0;0","ENSG00000134460"
"IL2RG","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Combined immunodeficiency, X-linked, moderate;Severe combined immunodeficiency, X-linked;Severe combined immunodeficiency, X-linked, 300400;Severe Combined Immune Deficiency;T-B+ SCID;SCID;SCID (x-linked);Atypical Severe Combined Immunodeficiency (Atypical SCID);Omenn syndrome;Severe combined immunodeficiency (SCID);Low NK;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000147168"
"IL36RN","BIALLELIC, autosomal or pseudoautosomal","Psoriasis 14, generalized pustular 614204;Other autoinflammatory diseases with known genetic defect;Pustular psoriasis;Autoinflammatory Disorders","100;0;0","ENSG00000136695"
"IL7R","BIALLELIC, autosomal or pseudoautosomal","Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type;Severe Combined Immune Deficiency;Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive;T-B+ SCID;IL7Ra deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Omenn syndrome;Severe combined immunodeficiency (SCID);Nl NK;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000168685"
"INO80","BIALLELIC, autosomal or pseudoautosomal","INO80 deficiency, HIGM;severe bacterial infections;Severe bacterial infections;Predominantly Antibody Deficiencies","100;0;0","ENSG00000128908"
"IRAK4","BIALLELIC, autosomal or pseudoautosomal","IRAK4 deficiency, 610799;Invasive pneumococcal disease, recurrent isolated, 1, 6107;Defects of TLR/NFkappa-B signalling;Defects with susceptibility to mycobacterial infection (MSMD);Bacterial infections (pyogens);Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000198001"
"IRF8","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Immunodeficiency 32A, mycobacteriosis, autosomal dominant, 614893;Immunodeficiency 32B, monocyte and dendritic cell deficiency, autosomal recessive, 226990;Defects with susceptibility to mycobacterial infection (MSMD);Susceptibility to mycobacteria;Defects in Intrinsic and Innate Immunity;Susceptibility to mycobacteria and multiple other infectious agents","50;50;0","ENSG00000140968"
"ISG15","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 38, 616126;Defects with susceptibility to mycobacterial infection (MSMD);idiopathic basal ganglia calcification;Susceptibility to mycobacteria, brain calcifications;Defects in Intrinsic and Innate Immunity","100;0;0","ENSG00000187608"
"ITCH","BIALLELIC, autosomal or pseudoautosomal","Autoimmune disease, multisystem, with facial dysmorphism, 613385;Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy (APECED);Syndromic multisystem autoimmune disease due to Itch deficiency;Early-onset chronic lung disease (interstitial pneumonitis), autoimmunity (thyroiditis, type I diabetes, chronic diarrhea/enteropathy, and hepatitis), failure to thrive, developmental delay, dysmorphic facial features;Diseases of Immune Dysregulation","100;0;0","ENSG00000078747"
"ITGB2","BIALLELIC, autosomal or pseudoautosomal","Leukocyte adhesion deficiency, 116920;LAD;Leukocyte adhesion deficiency type I;Delayed cord separation, skin ulcers, periodontitis, leukocytosis;Congenital defects of phagocyte number or function","100;0;0","ENSG00000160255"
"ITK","BIALLELIC, autosomal or pseudoautosomal","Lymphoproliferative syndrome 1;Combined immunodeficiency;ITK deficiency (HLH phenotype);EBV viraemia, HLH;EBV associated B cell lymphoproliferation, lymphoma, Nl or low IgG;Diseases of Immune Dysregulation","100;0;0","ENSG00000113263"
"JAGN1","BIALLELIC, autosomal or pseudoautosomal","Neutropenia, severe congenital;Congenital neutropenia;Neutropenia, severe congenital, 6, autosomal recessive,616022;severe congenital neutropenia;Myeloid maturation arrest, osteopenia;Congenital defects of phagocyte number or function","100;0;0","ENSG00000171135"
"JAK3","BIALLELIC, autosomal or pseudoautosomal","SCID, autosomal recessive, T-negative/B-positive type;Severe Combined Immune Deficiency;T-B+ SCID;Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Positive, Nk Cell-Negative;JAK3 deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Omenn syndrome;Severe combined immunodeficiency (SCID);Low NK;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000105639"
"LAMTOR2","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency due to defect in MAPBP-interacting protein, 610798;Congenital neutropenia;Primary immunodeficiency syndrome due to p14 deficiency;Neutropenia, Hypogammaglobulinemia CD8 cytotoxicity, partial albinism, growth failure;Congenital defects of phagocyte number or function","100;0;0","ENSG00000116586"
"LCK","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 22, 615758;LCK deficiency;Combined immunodeficiency;Severe combined immunodeficiency due to LCK deficiency;Recurrent infections, immune dysregulation, autoimmunity;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000182866"
"LIG4","BIALLELIC, autosomal or pseudoautosomal","LIG4 syndrome, 606593{Multiple myeloma, resistance to}, 254500;Severe combined immunodeficiency with sensitivity to ionizing radiation, 602450;Severe Combined Immunodeficiency with Sensitivity to Ionizing Radiation;T-B- SCID;T-B+ SCID;LIG4 syndrome;Combined immunodeficiency;Severe combined immunodeficiency (SCID);DNA ligase IV deficiency;Nl NK, radiation sensitive, microcephaly;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000174405"
"LPIN2","BIALLELIC, autosomal or pseudoautosomal","Majeed syndrome 609628;Other autoinflammatory diseases with known genetic defect;Chronic recurrent multifocal osteomyelitis, transfusion-dependent anemia, cutaneous inflammatory disorders;Autoinflammatory Disorders","100;0;0","ENSG00000101577"
"LRBA","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency, common variable, 8, with autoimmunity, 614700;Unclassified antibody deficiency;Recurrent infections, inflammatory bowel disease, autoimmunity, EBV infections;Diseases of Immune Dysregulation","100;0;0","ENSG00000198589"
"LYST","BIALLELIC, autosomal or pseudoautosomal","Chediak-Higashi syndrome 214500;Chediak Higashi syndrome;Partial albinism, recurrent infections, fever, HSM, HLH, giant lysosomes, neutropenia, cytopenias, bleeding tendency, progressive neurological dysfunction;Diseases of Immune Dysregulation","100;0;0","ENSG00000143669"
"MAGT1","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia;Chronic active EBV, lymphoproliferation, combined immunodeficiency, impaired t cell function;XMEN syndrome;Immunodeficiency, X-linked, with magnesium defect;Epstein-Barr virus infection and neoplasia (XMEN);Combined immunodeficiency;EBV infection, lymphoma, viral infections, respiratory and GI infections;Diseases of Immune Dysregulation","100;0;0","ENSG00000102158"
"MALT1","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 12 615468;Combined immunodeficiency;Bacterial, fungal and viral infections;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000172175"
"MAP3K14","BIALLELIC, autosomal or pseudoautosomal","Recessive Atypical Combined Immunodeficiency;Primary Immunodeficiency with Multifaceted Aberrant Lymphoid Immunity;Low NK number and function, recurrent bacterial, viral and Cryptosporidium infections;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000006062"
"MCM4","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 54, 609981;Natural killer cell and glucocorticoid deficiency with DNA repair defect;Predisposition to several viral infection;MCM4 deficiency;NK cells: low number and function. Viral infections (EBV, HSV, VZV),  short stature, B cell lymphoma, adrenal failure;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000104738"
"MEFV","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Familial Mediterranean fever, AD 134610;Familial Mediterranean fever, AR 249100;Familial mediterranean fever defect;Recurrent fever, serositis and inflammation responsive to colchicine. Predisoposes to vasculitis and inflammatory bowel disease.;Autoinflammatory Disorders","100;0;0","ENSG00000103313"
"MOGS","BIALLELIC, autosomal or pseudoautosomal","Congenital disorder of glycosylation, type IIb 606056;Bacterial and viral  infections,  severe neurologic disease, also  known as congenital disorder of glycosylation type IIb (CDG-IIb);Predominantly Antibody Deficiencies","100;0;0","ENSG00000115275"
"MSN","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Combined immunodeficiency;Immunodeficiency 50, 300988;Recurrent infections with bacteria, varicella, neutropenia;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000147065"
"MTHFD1","BIALLELIC, autosomal or pseudoautosomal","Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia 617780;Defects of Vitamin B12 and Folate metabolism;Recurrent bacterial infection, Pneumocystis jirovecii, megaloblastic anemia, failure to thrive, neutropenia, seizures, intellectual disability, folate-responsive;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000100714"
"MVK","BIALLELIC, autosomal or pseudoautosomal","Hyper-IgD syndrome 260920;Mevalonic aciduria 610377;Hyper IgD syndrome (MVK);Periodic fever and leukocytosis with high IgD levels;Autoinflammatory Disorders","100;0;0","ENSG00000110921"
"MYD88","BIALLELIC, autosomal or pseudoautosomal","Pyogenic bacterial infections, recurrent, due to MYD88 deficiency 612260;Defects of TLR/NFkappa-B signalling;recurrent pyogenic bacterial infection;Bacterial infections (pyogens);Defects in Intrinsic and Innate Immunity","50;25;25","ENSG00000172936"
"MYSM1","BIALLELIC, autosomal or pseudoautosomal","MYSM1 deficiency;Bone marrow failure;neurodevelopmental delay;mid-face hypoplasia;immunodeficiency;Short stature, recurrent infections, congenital bone marrow failure, myelodysplasia, immunodeficiency affecting B-cells and granulocytes, skeletal anomalies, cataracts,  developmental delay.;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000162601"
"NBN","BIALLELIC, autosomal or pseudoautosomal","Nijmegen breakage syndrome 251260;Nijmegen breakage syndrome (NBS1);Aplastic anemia 609135;Microcephaly, dysmorphic facies, lymphomas, solid tumors, increased radiosensitivity, chromosomal instability;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000104320"
"NCF1","BIALLELIC, autosomal or pseudoautosomal","Chronic granulomatous disease due to deficiency of NCF-1 233700;Chronic granulomatous disease (CGD);Infections, autoinflammatory phenotype;Congenital defects of phagocyte number or function","100;0;0","ENSG00000158517"
"NCF2","BIALLELIC, autosomal or pseudoautosomal","Chronic granulomatous disease due to deficiency of NCF-2 233710;Chronic granulomatous disease (CGD);Infections, autoinflammatory phenotype;Congenital defects of phagocyte number or function","100;0;0","ENSG00000116701"
"NFKB1","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Immunodeficiency, common variable, 12 616576;Common variable immunodeficiency disorders (CVID);Unclassified antibody deficiency;Recurrent sinopulmonary infections, COPD, EBV proliferation, autoimmune cytopenias, alopecia and autoimmune thyroiditis;Predominantly Antibody Deficiencies","100;0;0","ENSG00000109320"
"NFKB2","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Immunodeficiency, common variable, 10 615577;Hypogammaglobuliaemia;immune dysregulation;central adrenal insufficiency;Common variable immunodeficiency disorders (CVID);Unclassified antibody deficiency;Recurrent sinopulmonary infections, alopecia and endorinopathies;Predominantly Antibody Deficiencies","100;0;0","ENSG00000077150"
"NFKBIA","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Ectodermal dysplasia, anhidrotic, with T-cell immunodeficiency 612132;Defects of TLR/NFkappa-B signalling;Anhidrotic ectodermal dysplasia,  various infections (bacteria, mycobacteria, viruses and fungi), colitis, variable defects of skin, hair and teeth, T cell and monocyte dysfunction;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000100906"
"NHEJ1","BIALLELIC, autosomal or pseudoautosomal","Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation;Severe combined immunodeficiency with microcephaly, growth retardation and sensitivity to ionizing radiation, 611291;T-B- SCID;T-B+ SCID;Combined immunodeficiency;Cernunnos/XLF deficiency;Nl NK, radiation sensitive, microcephaly;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000187736"
"NLRC4","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","?Familial cold autoinflammatory syndrome 4 616115;Autoinflammation with infantile enterocolitis 616050;Severe enterocolitis and macrophage activation syndrome;Autoinflammatory Disorders","100;0;0","ENSG00000091106"
"NLRP12","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Familial cold autoinflammatory syndrome 2, 611762;preterm premature rupture of membranes (PPROM);Non-pruritic urticaria, arthritis, chills, fever and leukocytosis after cold exposure.;Autoinflammatory Disorders","100;0;0","ENSG00000142405"
"NLRP3","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","CINCA syndrome 607115;Muckle-Wells syndrome 191900;Familial cold autoinflammatory syndrome 1 120100;Deafness, autosomal dominant 34, with or without inflammation 617772;Non-pruritic urticaria, arthritis, chills, fever and leukocytosis after cold exposure;Autoinflammatory Disorders;Neonatal onset rash, chronic meningitis, and arthropathy with fever and inflammation;Urticaria, SNHL, amyloidosis","100;0;0","ENSG00000162711"
"NOD2","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Blau syndrome 186580;Caspase recruitment domain-containing protein 15 deficiency (CARD15);Uveitis, granulomatous synovitis, camptodactyly, rash and cranial neuropathies, 30% develop Crohn colitis;Autoinflammatory Disorders","100;0;0","ENSG00000167207"
"ORAI1","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 9 612782;T-B+ SCID;immunodeficiency, ectodermal dysplasia and myopathy;Combined immunodeficiency;Autoimmunity, EDA, non-progressive myopathy;Combined immunodeficiencies with associated or syndromic features","25;25;50","ENSG00000182500"
"OTULIN","BIALLELIC, autosomal or pseudoautosomal","Autoinflammation, panniculitis, and dermatosis syndrome, 617099;Fever, diarrhea , dermatitis;Autoinflammatory Disorders","100;0;0","ENSG00000154124"
"PARN","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Dyskeratosis congenita, autosomal recessive 6 616353;Pulmonary fibrosis and/or bone marrow failure,telomere-related, 4 616371;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, +/- recurrent infections. A severe phenotype with developmental delay and cerebellar hypoplasia known as Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000140694"
"PGM3","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 23 615816;Combined immunodeficiency;Severe atopy, autoimmunity, bacterial and viral infections, skeletal anomalies dysplasia: short stature, brachydactyly, dysmorphic facial features, and intellectual disability cognitive impairment, hypomyelination;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000013375"
"PIK3CD","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Immunodeficiency 14,615513;Combined immunodeficiency;Unclassified antibody deficiency;Activated PI3K-delta syndrome (APDS);sinopulmonary infections, dysgammaglobulinaemia, lymphadenopathy, nodular lymphoid hyperplasia and herpesviremia;Severe bacterial infections;decreased or absent pro-B cells, EBV;Predominantly Antibody Deficiencies","100;0;0","ENSG00000171608"
"PIK3R1","BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal","Immunodeficiency 36;Agammaglobulinemia 7, autosomal recessive, 615214;SHORT syndrome, 269880;Immunodeficiency 36, 616005;Agammaglobulinemia 7;Immunodeficiency 36;Combined immunodeficiency;Activated PI3K-delta syndrome (APDS);Agammaglobulinemia;immunodeficiency with hypogammaglobulinaemia, lymphoproliferation and inflammatory disease (AD);Severe bacterial infections,  decreased or absent pro-B cells;Predominantly Antibody Deficiencies;Severe bacterial infections, pro-B cells present and low numbers of memory B cells, EBV","100;0;0","ENSG00000145675"
"PLCG2","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Autoinflammation, antibody deficiency, and immune dysregulation syndrome 614878;Familial cold autoinflammatory syndrome 3 614468;Hypogammaglobulinaemia, cold induced urticaria, autoinflammatory;Familial cold autoinflammatory syndrome 3;Other autoinflammatory diseases with known genetic defect;Cold urticaria hypogammaglobulinemia, autoinflammation;Autoinflammatory Disorders","100;0;0","ENSG00000197943"
"PNP","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency due to purine nucleoside phosphorylase deficiency;T-B+ SCID;Atypical Severe Combined Immunodeficiency (Atypical SCID);Combined immunodeficiency;Autoimmune haemolytic anemia, neurological impairment;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000198805"
"PRF1","BIALLELIC, autosomal or pseudoautosomal","Hemophagocytic lymphohistiocytosis, familial 2, 603553;FHL2;Familial hemophagocytic lymphohistiocytosis syndromes (FHLH);HPLH2;HLH2;Fever, HSM,  Hemophagocytic lymphohistiocytosis (HLH), cytopenias;Diseases of Immune Dysregulation","100;0;0","ENSG00000180644"
"PRKCD","BIALLELIC, autosomal or pseudoautosomal","Autoimmune lymphoproliferative syndrome, type III 615559;Immunodeficiency, common variable, 9;Autoimmune lymphoproliferative syndrome (ALPS);Unclassified antibody deficiency;Recurrent infections, EBV chronic infection, lymphoproliferation, SLE-like autoimmunity (nephrotic and antiphospholipid syndromes), low IgG;Diseases of Immune Dysregulation","100;0;0","ENSG00000163932"
"PRKDC","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 26, with or without neurologic abnormalities;Immunodeficiency, with or without neurologic abnormalities;DNA Pkcs deficiency;Combined immunodeficiency;Severe combined immunodeficiency (SCID);Nl NK, radiation sensitive, microcephaly;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000253729"
"PSMB8","BIALLELIC, autosomal or pseudoautosomal","Autoinflammation, lipodystrophy, and dermatosis syndrome 256040;Other autoinflammatory diseases with known genetic defect;CANDLE syndrome;chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature syndrome (CANDLE);Contractures, panniculitis, ICC, fevers;Autoinflammatory Disorders","100;0;0","ENSG00000204264"
"PSTPIP1","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Pyogenic sterile arthritis, pyoderma gangrenosum, and acne 604416;Proline/serine/threonine phosphatase-interacting protein 1 deficiency (PSTPIP1);PAPA syndrome;Hyperzincaemia hypercalprotectinaemia;Destructive arthritis, inflammatory skin rash, myositis;Autoinflammatory Disorders","100;0;0","ENSG00000140368"
"PTPRC","BIALLELIC, autosomal or pseudoautosomal","Severe combined immunodeficiency, T cell-negative, B-cell/natural killer-cell positive;{Hepatitic C virus, susceptibility to}, 609532;T-B+ SCID;CD45 deficiency;Omenn syndrome;Severe combined immunodeficiency (SCID);Nl g/d T cells;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000081237"
"RAB27A","BIALLELIC, autosomal or pseudoautosomal","Griscelli syndrome, type 2 607624;Partial albinism, fever, HSM, HLH, cytopenias;Diseases of Immune Dysregulation","100;0;0","ENSG00000069974"
"RAG1","BIALLELIC, autosomal or pseudoautosomal","Severe combined immunodeficiency, B cell-negative;Severe Combined Immune Deficiency;Severe combined immunodeficiency, B cell-negative, 601457;T-B- SCID;T-B+ SCID;RAG1 deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Omenn syndrome;Severe combined immunodeficiency (SCID);Nl NK;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000166349"
"RAG2","BIALLELIC, autosomal or pseudoautosomal","Severe combined immunodeficiency, B cell-negative;Severe Combined Immune Deficiency;Severe combined immunodeficiency, B cell-negative, 601457;T-B- SCID;T-B+ SCID;Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Negative, Nk Cell-Positive;RAG2 deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Omenn syndrome;Severe combined immunodeficiency (SCID);Nl NK;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000175097"
